task_lang,transfer_lang,accuracy,syntactic,phonological,morphological,inventory,featural,geographic,hyper_genetic,scriptural,islands
bulg1262,stan1290,0.725948104,0.4454,0.4078,,0.4788,0.4601,0.076,3.078,0.0,0.08078439715518781
bulg1262,hind1269,0.621556886,0.4788,0.4078,,0.5418,0.5109,0.202,3.094,0.4287,0.11306543028800764
bulg1262,russ1263,0.716367265,0.3327,0.0,,0.345,0.3237,0.145,2.736,0.3498,0.05811619472151597
bulg1262,swah1253,0.501996008,0.6127,0.4407,,0.5102,0.5413,0.2302,3.158,0.5335,0.11727286583040109
bulg1262,thai1261,0.541916168,0.595,0.4054,,0.5034,0.5286,0.2956,3.197,0.6327,0.10615784455310062
bulg1262,nucl1301,0.628742515,0.5988,0.2048,,0.4912,0.5123,0.0312,3.11,0.0,0.09731207334160885
bulg1262,urdu1245,0.594211577,0.4501,0.5662,,0.5331,0.517,0.1722,3.125,0.4681,0.07466333599033115
bulg1262,viet1252,0.715369261,0.5326,0.4078,,0.5195,0.5156,0.3016,3.158,0.3455,0.11128698538395787
bulg1262,mand1415,0.711377246,0.4528,0.4949,,0.5762,0.5253,0.2756,3.06,0.4848,0.11423473176348664
stan1295,stan1318,0.673253493,0.5757,,,,0.5757,0.1426,3.3,0.5335,0.08866962481986973
stan1295,bulg1262,0.703193613,0.4097,0.3743,,0.5162,0.467,0.0467,3.164,0.0,0.07652596155811797
stan1295,stan1295,0.766866267,0.0,0.0,,0.0,0.0,0.0,0.0004473,0.0,-2.220446049250313e-16
stan1295,mode1248,0.687225549,0.4888,0.4208,,0.5707,0.5257,0.0491,3.12,0.2736,0.09033502616047207
stan1295,stan1293,0.789820359,0.3539,0.409,,0.4364,0.4054,0.0437,2.85,0.1864,0.14970154637061306
stan1295,stan1288,0.746107784,0.4492,0.5049,,0.6393,0.5535,0.0579,3.135,0.0,0.07417765985269309
stan1295,stan1290,0.734530938,0.4433,0.238,,0.3886,0.3927,0.032,3.209,0.0,0.059963038844299765
stan1295,hind1269,0.635528942,0.486,0.3418,,0.5037,0.481,0.2386,3.182,0.4287,0.1095406277233194
stan1295,russ1263,0.709780439,0.4035,0.3743,,0.5184,0.461,0.1639,3.146,0.3498,0.08138335747980197
stan1295,swah1253,0.507784431,0.677,0.5132,,0.5298,0.583,0.2623,3.273,0.5335,0.13345061428976934
stan1295,thai1261,0.55988024,0.6569,0.4878,,0.4666,0.5397,0.3253,3.305,0.6327,0.10747582039039705
stan1295,nucl1301,0.642714571,0.6231,0.319,,0.418,0.498,0.0773,3.219,0.0,0.0796078888754096
stan1295,urdu1245,0.614770459,0.5559,0.5032,,0.5018,0.5181,0.2122,3.213,0.4681,0.07802548425103517
stan1295,viet1252,0.708782435,0.6421,0.4225,,0.4564,0.5146,0.3282,3.25,0.3455,0.10826915443607543
stan1295,mand1415,0.713772455,0.5438,0.3021,,0.5902,0.5413,0.2915,3.18,0.4848,0.12895901151922773
mode1248,stan1318,0.660678643,0.5191,,0.4934,,0.5139,0.0955,3.148,0.5335,0.07537899904995438
mode1248,bulg1262,0.70239521,0.419,0.2048,,0.4683,0.4297,0.0048,3.027,0.2736,0.07708466945213677
mode1248,stan1295,0.705189621,0.4888,0.4208,,0.5707,0.5257,0.0491,3.12,0.2736,0.09033502616047207
mode1248,mode1248,0.7500998,0.0,0.0,0.0,0.0,0.0,0.0,0.0004473,0.0,0.0
mode1248,stan1293,0.763672655,0.4784,0.2677,0.6302,0.5516,0.5211,0.0921,2.92,0.3277,0.17169553345663113
mode1248,stan1288,0.735129741,0.395,0.2871,,0.4388,0.4057,0.0887,3.0,0.2736,0.06596823838228327
mode1248,stan1290,0.725149701,0.4958,0.4745,0.5439,0.5849,0.5354,0.0775,3.082,0.2736,0.08994042078490438
mode1248,hind1269,0.625748503,0.5165,0.4745,0.6031,0.6108,0.5669,0.2021,3.08,0.4287,0.10798665290127973
mode1248,russ1263,0.704391218,0.507,0.2048,0.515,0.3971,0.4744,0.1481,3.006,0.2952,0.06486333970812486
mode1248,swah1253,0.518363273,0.6265,0.4208,0.7008,0.4344,0.5817,0.2264,3.121,0.5335,0.12246285389699829
mode1248,thai1261,0.558083832,0.6478,0.4788,0.7823,0.5433,0.623,0.2961,3.178,0.6996,0.12053987247078402
mode1248,nucl1301,0.624750499,0.604,0.2871,0.5725,0.5247,0.5654,0.0298,3.082,0.2736,0.09937171518541787
mode1248,urdu1245,0.598802395,0.5932,0.5988,,0.566,0.588,0.1717,3.113,0.4681,0.11693227410174722
mode1248,viet1252,0.702994012,0.6223,0.4745,0.806,0.5839,0.6388,0.3026,3.096,0.432,0.1433826252540259
mode1248,mand1415,0.705588822,0.5997,0.5273,0.8249,0.6376,0.6454,0.2782,3.025,0.4848,0.1366234168902688
stan1293,stan1318,0.660479042,0.5819,,0.6156,,0.5978,0.1832,3.135,0.5574,0.18526865019199423
stan1293,bulg1262,0.697005988,0.4097,0.3333,,0.521,0.4647,0.0896,2.977,0.1864,0.17528098739561349
stan1293,stan1295,0.712974052,0.3539,0.409,,0.4364,0.4054,0.0437,2.85,0.1864,0.14970154637061306
stan1293,mode1248,0.673453094,0.4784,0.2677,0.6302,0.5516,0.5211,0.0921,2.92,0.3277,0.17169553345663113
stan1293,stan1293,0.824151697,0.0,0.0,0.0,0.0,0.0,0.0,0.0004473,0.0,0.0
stan1293,stan1288,0.741716567,0.3887,0.2677,,0.5481,0.4605,0.0575,2.94,0.1864,0.1600928424951812
stan1293,stan1290,0.743912176,0.4471,0.3881,0.6323,0.4753,0.4836,0.0246,3.03,0.1864,0.16578026419506786
stan1293,hind1269,0.609381238,0.5648,0.3881,0.7177,0.4684,0.5409,0.2707,3.004,0.3918,0.19350526114185462
stan1293,russ1263,0.697005988,0.508,0.3333,0.567,0.5594,0.5335,0.1849,2.953,0.3918,0.18197902049851
stan1293,swah1253,0.509780439,0.6575,0.3141,0.7656,0.484,0.5974,0.294,3.104,0.5574,0.2025305719172501
stan1293,thai1261,0.556087824,0.5378,0.3729,0.7553,0.4147,0.5006,0.3501,3.137,0.6502,0.18190648043577617
stan1293,nucl1301,0.627345309,0.6564,0.3862,0.6638,0.5183,0.5995,0.1194,3.035,0.1864,0.19812132359904921
stan1293,urdu1245,0.581037924,0.591,0.4717,,0.4923,0.5185,0.2475,3.041,0.4973,0.18054719222332005
stan1293,viet1252,0.706986028,0.5955,0.3881,0.9176,0.4662,0.5546,0.3502,3.072,0.3881,0.20058286740115372
stan1293,mand1415,0.694411178,0.5615,0.439,0.786,0.5926,0.5878,0.3047,2.99,0.5126,0.21073317487603827
stan1288,stan1318,0.659281437,0.5145,,,,0.5145,0.1725,3.158,0.5335,0.06485554929966653
stan1288,bulg1262,0.714570858,0.2923,0.3613,,0.5933,0.4657,0.0891,2.992,0.0,0.06753978783790038
stan1288,stan1295,0.726147705,0.4492,0.5049,,0.6393,0.5535,0.0579,3.135,0.0,0.07417765985269309
stan1288,mode1248,0.691417166,0.395,0.2871,,0.4388,0.4057,0.0887,3.0,0.2736,0.06596823838228327
stan1288,stan1293,0.802994012,0.3887,0.2677,,0.5481,0.4605,0.0575,2.94,0.1864,0.1600928424951812
stan1288,stan1288,0.784031936,0.0,0.0,,0.0,0.0,0.0,0.0004473,0.0,0.0
stan1288,stan1290,0.750698603,0.3871,0.4745,,0.5804,0.4968,0.0362,2.734,0.0,0.07377110261394793
stan1288,hind1269,0.626746507,0.5192,0.4745,,0.5922,0.5569,0.279,3.072,0.4287,0.11745522954909837
stan1288,russ1263,0.717165669,0.4239,0.3613,,0.5273,0.4642,0.2163,2.973,0.3498,0.0653983730741522
stan1288,swah1253,0.520359281,0.5588,0.4576,,0.4327,0.491,0.2597,3.137,0.5335,0.08915648050371194
stan1288,thai1261,0.55249501,0.5639,0.4788,,0.5382,0.545,0.3631,3.176,0.6327,0.10855420475826061
stan1288,nucl1301,0.631137725,0.6231,0.4097,,0.5608,0.5747,0.1167,3.078,0.0,0.07495273485881038
stan1288,urdu1245,0.602994012,0.5745,0.5988,,0.5985,0.5947,0.2503,3.105,0.4681,0.08817342015475482
stan1288,viet1252,0.720558882,0.5732,0.4745,,0.5801,0.5722,0.3677,3.12,0.3455,0.12049633316906472
stan1288,mand1415,0.714371257,0.5659,0.4498,,0.5941,0.5671,0.3363,3.018,0.4848,0.13077679545220122
stan1290,stan1318,0.667864271,0.5731,,0.5122,,0.5527,0.169,3.229,0.5335,0.08317305411864018
stan1290,bulg1262,0.701596806,0.4454,0.4078,,0.4788,0.4601,0.076,3.078,0.0,0.08078439715518781
stan1290,stan1295,0.716566866,0.4433,0.238,,0.3886,0.3927,0.032,3.209,0.0,0.059963038844299765
stan1290,mode1248,0.68502994,0.4958,0.4745,0.5439,0.5849,0.5354,0.0775,3.082,0.2736,0.08994042078490438
stan1290,stan1293,0.798403194,0.4471,0.3881,0.6323,0.4753,0.4836,0.0246,3.03,0.1864,0.16578026419506786
stan1290,stan1288,0.763473054,0.3871,0.4745,,0.5804,0.4968,0.0362,2.734,0.0,0.07377110261394793
stan1290,stan1290,0.78003992,0.0,0.0,0.0,0.0,0.0,0.0,0.0004473,0.0,2.220446049250313e-16
stan1290,hind1269,0.621756487,0.5968,0.2338,0.6723,0.4618,0.5393,0.2657,3.152,0.4287,0.10832554779409309
stan1290,russ1263,0.70998004,0.5515,0.4359,0.5257,0.5152,0.5353,0.1897,3.062,0.3498,0.09846380829785317
stan1290,swah1253,0.508582834,0.6394,0.4918,0.638,0.4955,0.5804,0.2752,3.209,0.5335,0.11462203912389324
stan1290,thai1261,0.543512974,0.5895,0.4646,0.7823,0.4674,0.5554,0.3488,3.248,0.6327,0.10847451151856957
stan1290,nucl1301,0.627944112,0.6691,0.3918,0.5354,0.4955,0.5752,0.1063,3.156,0.0,0.10555725705164343
stan1290,urdu1245,0.600399202,0.5931,0.4407,,0.5194,0.5314,0.2398,3.184,0.4681,0.09680161371060192
stan1290,viet1252,0.711177645,0.6501,0.4097,0.8663,0.4766,0.5869,0.3511,3.193,0.3455,0.12240759017269298
stan1290,mand1415,0.708782435,0.6961,0.2914,0.86,0.5726,0.647,0.3122,3.1,0.4848,0.14099366700864402
hind1269,stan1318,0.638922156,0.6481,,0.6156,,0.6437,0.1337,3.264,0.5303,0.1263548000249567
hind1269,bulg1262,0.688622754,0.4788,0.4078,,0.5418,0.5109,0.202,3.094,0.4287,0.11306543028800764
hind1269,stan1295,0.69740519,0.486,0.3418,,0.5037,0.481,0.2386,3.182,0.4287,0.1095406277233194
hind1269,mode1248,0.664471058,0.5165,0.4745,0.6031,0.6108,0.5669,0.2021,3.08,0.4287,0.10798665290127973
hind1269,stan1293,0.727744511,0.5648,0.3881,0.7177,0.4684,0.5409,0.2707,3.004,0.3918,0.19350526114185462
hind1269,stan1288,0.719760479,0.5192,0.4745,,0.5922,0.5569,0.279,3.072,0.4287,0.11745522954909837
hind1269,stan1290,0.705988024,0.5968,0.2338,0.6723,0.4618,0.5393,0.2657,3.152,0.4287,0.10832554779409309
hind1269,hind1269,0.675249501,0.0,0.0,0.0,0.0,0.0,0.0,0.0004473,0.0,2.220446049250313e-16
hind1269,russ1263,0.68762475,0.5154,0.4359,0.5654,0.6015,0.558,0.1311,3.072,0.5187,0.11578855296474155
hind1269,swah1253,0.503792415,0.6853,0.4918,0.7125,0.5559,0.6296,0.2217,3.24,0.5303,0.13902567642803232
hind1269,thai1261,0.549500998,0.6795,0.4646,0.7553,0.4526,0.5749,0.1117,3.271,0.615,0.12779125210442832
hind1269,nucl1301,0.625948104,0.5983,0.4745,0.5779,0.5418,0.5697,0.1761,3.188,0.4287,0.12759375990476374
hind1269,urdu1245,0.625149701,0.262,0.3333,,0.3583,0.3347,0.0414,2.79,0.293,0.0678570731111322
hind1269,viet1252,0.697005988,0.7274,0.4097,0.9268,0.4865,0.6109,0.1277,3.223,0.5331,0.14411405275249645
hind1269,mand1415,0.709580838,0.554,0.3789,0.8886,0.5786,0.5835,0.1605,3.145,0.5337,0.12320812847095164
russ1263,stan1318,0.669261477,0.6095,,0.5352,,0.5822,0.1491,3.168,0.6591,0.0853277769267331
russ1263,bulg1262,0.718762475,0.3327,0.0,,0.345,0.3237,0.145,2.736,0.3498,0.05811619472151597
russ1263,stan1295,0.721756487,0.4035,0.3743,,0.5184,0.461,0.1639,3.146,0.3498,0.08138335747980197
russ1263,mode1248,0.69001996,0.507,0.2048,0.515,0.3971,0.4744,0.1481,3.006,0.2952,0.06486333970812486
russ1263,stan1293,0.785429142,0.508,0.3333,0.567,0.5594,0.5335,0.1849,2.953,0.3918,0.18197902049851
russ1263,stan1288,0.742115768,0.4239,0.3613,,0.5273,0.4642,0.2163,2.973,0.3498,0.0653983730741522
russ1263,stan1290,0.73992016,0.5515,0.4359,0.5257,0.5152,0.5353,0.1897,3.062,0.3498,0.09846380829785317
russ1263,hind1269,0.635528942,0.5154,0.4359,0.5654,0.6015,0.558,0.1311,3.072,0.5187,0.11578855296474155
russ1263,russ1263,0.740518962,0.0,0.0,0.0,0.0,0.0,0.0,0.0004473,0.0,-2.220446049250313e-16
russ1263,swah1253,0.50738523,0.6548,0.47,0.6419,0.4687,0.5956,0.2912,3.14,0.6591,0.11937726349923405
russ1263,thai1261,0.558283433,0.628,0.4407,0.8099,0.5718,0.6303,0.2004,3.18,0.7196,0.12716698150121775
russ1263,nucl1301,0.633133733,0.6564,0.2048,0.5519,0.5124,0.5812,0.1346,3.092,0.3498,0.09872426477949992
russ1263,urdu1245,0.607784431,0.4675,0.5662,,0.5919,0.5587,0.1314,3.105,0.5505,0.1115529734087114
russ1263,viet1252,0.720758483,0.6637,0.4359,0.885,0.5731,0.6615,0.1953,3.139,0.4788,0.1439255047358653
russ1263,mand1415,0.711377246,0.5787,0.4949,0.8043,0.6065,0.6315,0.1449,3.041,0.5641,0.13363989309876145
swah1253,stan1318,0.630339321,0.6744,,0.6353,,0.6611,0.1636,3.246,0.0,0.1106941590009225
swah1253,bulg1262,0.64750499,0.6127,0.4407,,0.5102,0.5413,0.2302,3.158,0.5335,0.11727286583040109
swah1253,stan1295,0.663073852,0.677,0.5132,,0.5298,0.583,0.2623,3.273,0.5335,0.13345061428976934
swah1253,mode1248,0.642115768,0.6265,0.4208,0.7008,0.4344,0.5817,0.2264,3.121,0.5335,0.12246285389699829
swah1253,stan1293,0.751896208,0.6575,0.3141,0.7656,0.484,0.5974,0.294,3.104,0.5574,0.2025305719172501
swah1253,stan1288,0.695209581,0.5588,0.4576,,0.4327,0.491,0.2597,3.137,0.5335,0.08915648050371194
swah1253,stan1290,0.693612774,0.6394,0.4918,0.638,0.4955,0.5804,0.2752,3.209,0.5335,0.11462203912389324
swah1253,hind1269,0.566666667,0.6853,0.4918,0.7125,0.5559,0.6296,0.2217,3.24,0.5303,0.13902567642803232
swah1253,russ1263,0.670259481,0.6548,0.47,0.6419,0.4687,0.5956,0.2912,3.14,0.6591,0.11937726349923405
swah1253,swah1253,0.662674651,0.0,0.0,0.0,0.0,0.0,0.0,0.0004473,0.0,-2.220446049250313e-16
swah1253,thai1261,0.511976048,0.5974,0.409,0.6965,0.4983,0.5578,0.2825,3.258,0.6472,0.10205940315265993
swah1253,nucl1301,0.581636727,0.6752,0.5049,0.5681,0.5064,0.5919,0.2119,3.166,0.5335,0.09666746893685907
swah1253,urdu1245,0.555489022,0.7572,0.5032,,0.5295,0.5913,0.1936,3.27,0.3799,0.1306168960403088
swah1253,viet1252,0.660479042,0.7097,0.3418,0.9335,0.4491,0.6015,0.3072,3.205,0.6116,0.11820469104223019
swah1253,mand1415,0.661876248,0.6783,0.535,0.8976,0.5855,0.6635,0.3538,3.121,0.4235,0.15909750678917878
thai1261,stan1318,0.596207585,0.648,,0.7748,,0.6949,0.2359,3.29,0.6472,0.10543228603109556
thai1261,bulg1262,0.633532934,0.595,0.4054,,0.5034,0.5286,0.2956,3.197,0.6327,0.10615784455310062
thai1261,stan1295,0.637325349,0.6569,0.4878,,0.4666,0.5397,0.3253,3.305,0.6327,0.10747582039039705
thai1261,mode1248,0.628343313,0.6478,0.4788,0.7823,0.5433,0.623,0.2961,3.178,0.6996,0.12053987247078402
thai1261,stan1293,0.665269461,0.5378,0.3729,0.7553,0.4147,0.5006,0.3501,3.137,0.6502,0.18190648043577617
thai1261,stan1288,0.65508982,0.5639,0.4788,,0.5382,0.545,0.3631,3.176,0.6327,0.10855420475826061
thai1261,stan1290,0.637325349,0.5895,0.4646,0.7823,0.4674,0.5554,0.3488,3.248,0.6327,0.10847451151856957
thai1261,hind1269,0.556886228,0.6795,0.4646,0.7553,0.4526,0.5749,0.1117,3.271,0.615,0.12779125210442832
thai1261,russ1263,0.63253493,0.628,0.4407,0.8099,0.5718,0.6303,0.2004,3.18,0.7196,0.12716698150121775
thai1261,swah1253,0.505788423,0.5974,0.409,0.6965,0.4983,0.5578,0.2825,3.258,0.6472,0.10205940315265993
thai1261,thai1261,0.652894212,0.0,0.0,0.0,0.0,0.0,0.0,0.0004473,0.0,0.0
thai1261,nucl1301,0.553892216,0.7006,0.4788,0.7261,0.4792,0.6129,0.2736,3.158,0.6327,0.11602379770531623
thai1261,urdu1245,0.551297405,0.7447,0.5,,0.4862,0.5631,0.1495,3.3,0.6373,0.10725696913539817
thai1261,viet1252,0.657285429,0.4683,0.2952,0.8136,0.4552,0.4562,0.0329,3.258,0.6906,0.08056995109249243
thai1261,mand1415,0.652894212,0.5849,0.439,0.6667,0.5984,0.5794,0.1314,3.17,0.7416,0.1143343828153287
nucl1301,stan1318,0.646906188,0.7518,,0.5499,,0.6849,0.0682,3.205,0.5335,0.10317452864669441
nucl1301,bulg1262,0.679041916,0.5988,0.2048,,0.4912,0.5123,0.0312,3.11,0.0,0.09731207334160885
nucl1301,stan1295,0.69001996,0.6231,0.319,,0.418,0.498,0.0773,3.219,0.0,0.0796078888754096
nucl1301,mode1248,0.670858283,0.604,0.2871,0.5725,0.5247,0.5654,0.0298,3.082,0.2736,0.09937171518541787
nucl1301,stan1293,0.728942116,0.6564,0.3862,0.6638,0.5183,0.5995,0.1194,3.035,0.1864,0.19812132359904921
nucl1301,stan1288,0.720758483,0.6231,0.4097,,0.5608,0.5747,0.1167,3.078,0.0,0.07495273485881038
nucl1301,stan1290,0.709181637,0.6691,0.3918,0.5354,0.4955,0.5752,0.1063,3.156,0.0,0.10555725705164343
nucl1301,hind1269,0.62754491,0.5983,0.4745,0.5779,0.5418,0.5697,0.1761,3.188,0.4287,0.12759375990476374
nucl1301,russ1263,0.684031936,0.6564,0.2048,0.5519,0.5124,0.5812,0.1346,3.092,0.3498,0.09872426477949992
nucl1301,swah1253,0.508982036,0.6752,0.5049,0.5681,0.5064,0.5919,0.2119,3.166,0.5335,0.09666746893685907
nucl1301,thai1261,0.528542914,0.7006,0.4788,0.7261,0.4792,0.6129,0.2736,3.158,0.6327,0.11602379770531623
nucl1301,nucl1301,0.720359281,0.0,0.0,0.0,0.0,0.0,0.0,0.0004883,0.0,2.220446049250313e-16
nucl1301,urdu1245,0.597205589,0.6082,0.5988,,0.5459,0.5714,0.1442,3.219,0.4681,0.10221155093922474
nucl1301,viet1252,0.685628743,0.7891,0.4745,0.9287,0.467,0.6553,0.2816,3.158,0.3455,0.13557917617861714
nucl1301,mand1415,0.697005988,0.6144,0.4498,0.86,0.6327,0.6432,0.2634,3.037,0.4848,0.14132590827313618
urdu1245,stan1318,0.604790419,0.6897,,,,0.6897,0.0948,3.291,0.3799,0.10818388383027033
urdu1245,bulg1262,0.632734531,0.4501,0.5662,,0.5331,0.517,0.1722,3.125,0.4681,0.07466333599033115
urdu1245,stan1295,0.646107784,0.5559,0.5032,,0.5018,0.5181,0.2122,3.213,0.4681,0.07802548425103517
urdu1245,mode1248,0.625149701,0.5932,0.5988,,0.566,0.588,0.1717,3.113,0.4681,0.11693227410174722
urdu1245,stan1293,0.679640719,0.591,0.4717,,0.4923,0.5185,0.2475,3.041,0.4973,0.18054719222332005
urdu1245,stan1288,0.656886228,0.5745,0.5988,,0.5985,0.5947,0.2503,3.105,0.4681,0.08817342015475482
urdu1245,stan1290,0.647105788,0.5931,0.4407,,0.5194,0.5314,0.2398,3.184,0.4681,0.09680161371060192
urdu1245,hind1269,0.616167665,0.262,0.3333,,0.3583,0.3347,0.0414,2.79,0.293,0.0678570731111322
urdu1245,russ1263,0.64750499,0.4675,0.5662,,0.5919,0.5587,0.1314,3.105,0.5505,0.1115529734087114
urdu1245,swah1253,0.462874251,0.7572,0.5032,,0.5295,0.5913,0.1936,3.27,0.3799,0.1306168960403088
urdu1245,thai1261,0.478243513,0.7447,0.5,,0.4862,0.5631,0.1495,3.3,0.6373,0.10725696913539817
urdu1245,nucl1301,0.578243513,0.6082,0.5988,,0.5459,0.5714,0.1442,3.219,0.4681,0.10221155093922474
urdu1245,urdu1245,0.633732535,0.0,0.0,,0.0,0.0,0.0,0.0004473,0.0,2.220446049250313e-16
urdu1245,viet1252,0.635129741,0.6571,0.4054,,0.4766,0.5147,0.1665,3.252,0.5619,0.10667733077754094
urdu1245,mand1415,0.653093812,0.3955,0.5032,,0.5726,0.5219,0.1923,3.176,0.4297,0.10483978734323562
viet1252,stan1318,0.655489022,0.6704,,0.9131,,0.738,0.2505,3.229,0.6116,0.12054580160280604
viet1252,bulg1262,0.696606786,0.5326,0.4078,,0.5195,0.5156,0.3016,3.158,0.3455,0.11128698538395787
viet1252,stan1295,0.698802395,0.6421,0.4225,,0.4564,0.5146,0.3282,3.25,0.3455,0.10826915443607543
viet1252,mode1248,0.677245509,0.6223,0.4745,0.806,0.5839,0.6388,0.3026,3.096,0.432,0.1433826252540259
viet1252,stan1293,0.763473054,0.5955,0.3881,0.9176,0.4662,0.5546,0.3502,3.072,0.3881,0.20058286740115372
viet1252,stan1288,0.735928144,0.5732,0.4745,,0.5801,0.5722,0.3677,3.12,0.3455,0.12049633316906472
viet1252,stan1290,0.727145709,0.6501,0.4097,0.8663,0.4766,0.5869,0.3511,3.193,0.3455,0.12240759017269298
viet1252,hind1269,0.622155689,0.7274,0.4097,0.9268,0.4865,0.6109,0.1277,3.223,0.5331,0.14411405275249645
viet1252,russ1263,0.699800399,0.6637,0.4359,0.885,0.5731,0.6615,0.1953,3.139,0.4788,0.1439255047358653
viet1252,swah1253,0.492814371,0.7097,0.3418,0.9335,0.4491,0.6015,0.3072,3.205,0.6116,0.11820469104223019
viet1252,thai1261,0.576047904,0.4683,0.2952,0.8136,0.4552,0.4562,0.0329,3.258,0.6906,0.08056995109249243
viet1252,nucl1301,0.620159681,0.7891,0.4745,0.9287,0.467,0.6553,0.2816,3.158,0.3455,0.13557917617861714
viet1252,urdu1245,0.600199601,0.6571,0.4054,,0.4766,0.5147,0.1665,3.252,0.5619,0.10667733077754094
viet1252,viet1252,0.753493014,0.0,0.0,0.0,0.0,0.0,0.0,0.0004473,0.0,2.220446049250313e-16
viet1252,mand1415,0.709181637,0.6253,0.3789,0.6667,0.6195,0.6008,0.1047,3.09,0.359,0.11996804035525954
mand1415,stan1318,0.648702595,0.74,,0.8691,,0.7842,0.2567,3.148,0.4235,0.14336151911205886
mand1415,bulg1262,0.695409182,0.4528,0.4949,,0.5762,0.5253,0.2756,3.06,0.4848,0.11423473176348664
mand1415,stan1295,0.702794411,0.5438,0.3021,,0.5902,0.5413,0.2915,3.18,0.4848,0.12895901151922773
mand1415,mode1248,0.672854291,0.5997,0.5273,0.8249,0.6376,0.6454,0.2782,3.025,0.4848,0.1366234168902688
mand1415,stan1293,0.766267465,0.5615,0.439,0.786,0.5926,0.5878,0.3047,2.99,0.5126,0.21073317487603827
mand1415,stan1288,0.73493014,0.5659,0.4498,,0.5941,0.5671,0.3363,3.018,0.4848,0.13077679545220122
mand1415,stan1290,0.723952096,0.6961,0.2914,0.86,0.5726,0.647,0.3122,3.1,0.4848,0.14099366700864402
mand1415,hind1269,0.62255489,0.554,0.3789,0.8886,0.5786,0.5835,0.1605,3.145,0.5337,0.12320812847095164
mand1415,russ1263,0.710978044,0.5787,0.4949,0.8043,0.6065,0.6315,0.1449,3.041,0.5641,0.13363989309876145
mand1415,swah1253,0.478443114,0.6783,0.535,0.8976,0.5855,0.6635,0.3538,3.121,0.4235,0.15909750678917878
mand1415,thai1261,0.552694611,0.5849,0.439,0.6667,0.5984,0.5794,0.1314,3.17,0.7416,0.1143343828153287
mand1415,nucl1301,0.629540918,0.6144,0.4498,0.86,0.6327,0.6432,0.2634,3.037,0.4848,0.14132590827313618
mand1415,urdu1245,0.609580838,0.3955,0.5032,,0.5726,0.5219,0.1923,3.176,0.4297,0.10483978734323562
mand1415,viet1252,0.708383234,0.6253,0.3789,0.6667,0.6195,0.6008,0.1047,3.09,0.359,0.11996804035525954
mand1415,mand1415,0.761077844,0.0,0.0,0.0,0.0,0.0,0.0,0.0004473,0.0,0.0
