task_lang,transfer_lang,accuracy
stan1293,russ1263,0.697005988
stan1293,swah1253,0.509780439
stan1293,thai1261,0.556087824
stan1293,nucl1301,0.627345309
stan1293,urdu1245,0.581037924
stan1293,viet1252,0.706986028
stan1293,mand1415,0.694411178
stan1288,stan1318,0.659281437
stan1288,bulg1262,0.714570858
stan1288,stan1295,0.726147705
stan1288,mode1248,0.691417166
stan1288,stan1293,0.802994012
stan1288,stan1288,0.784031936
stan1288,stan1290,0.750698603
stan1288,hind1269,0.626746507
stan1288,russ1263,0.717165669
stan1288,swah1253,0.520359281
stan1288,thai1261,0.55249501
stan1288,nucl1301,0.631137725
stan1288,urdu1245,0.602994012
stan1288,viet1252,0.720558882
stan1288,mand1415,0.714371257
stan1290,stan1318,0.667864271
stan1290,bulg1262,0.701596806
stan1290,stan1295,0.716566866
stan1290,mode1248,0.68502994
stan1290,stan1293,0.798403194
stan1290,stan1288,0.763473054
stan1290,stan1290,0.78003992
stan1290,hind1269,0.621756487
stan1290,russ1263,0.70998004
stan1290,swah1253,0.508582834
stan1290,thai1261,0.543512974
stan1290,nucl1301,0.627944112
stan1290,urdu1245,0.600399202
stan1290,viet1252,0.711177645
stan1290,mand1415,0.708782435
hind1269,stan1318,0.638922156
hind1269,bulg1262,0.688622754
hind1269,stan1295,0.69740519
hind1269,mode1248,0.664471058
hind1269,stan1293,0.727744511
hind1269,stan1288,0.719760479
hind1269,stan1290,0.705988024
hind1269,hind1269,0.675249501
hind1269,russ1263,0.68762475
hind1269,swah1253,0.503792415
hind1269,thai1261,0.549500998
hind1269,nucl1301,0.625948104
hind1269,urdu1245,0.625149701
hind1269,viet1252,0.697005988
hind1269,mand1415,0.709580838
russ1263,stan1318,0.669261477
russ1263,bulg1262,0.718762475
russ1263,stan1295,0.721756487
russ1263,mode1248,0.69001996
russ1263,stan1293,0.785429142
russ1263,stan1288,0.742115768
russ1263,stan1290,0.73992016
russ1263,hind1269,0.635528942
russ1263,russ1263,0.740518962
russ1263,swah1253,0.50738523
russ1263,thai1261,0.558283433
russ1263,nucl1301,0.633133733
russ1263,urdu1245,0.607784431
russ1263,viet1252,0.720758483
russ1263,mand1415,0.711377246
swah1253,stan1318,0.630339321
swah1253,bulg1262,0.64750499
swah1253,stan1295,0.663073852
swah1253,mode1248,0.642115768
swah1253,stan1293,0.751896208
swah1253,stan1288,0.695209581
swah1253,stan1290,0.693612774
swah1253,hind1269,0.566666667
swah1253,russ1263,0.670259481
swah1253,swah1253,0.662674651
swah1253,thai1261,0.511976048
swah1253,nucl1301,0.581636727
swah1253,urdu1245,0.555489022
swah1253,viet1252,0.660479042
swah1253,mand1415,0.661876248
thai1261,stan1318,0.596207585
thai1261,bulg1262,0.633532934
thai1261,stan1295,0.637325349
thai1261,mode1248,0.628343313
thai1261,stan1293,0.665269461
thai1261,stan1288,0.65508982
thai1261,stan1290,0.637325349
thai1261,hind1269,0.556886228
thai1261,russ1263,0.63253493
thai1261,swah1253,0.505788423
thai1261,thai1261,0.652894212
thai1261,nucl1301,0.553892216
thai1261,urdu1245,0.551297405
thai1261,viet1252,0.657285429
thai1261,mand1415,0.652894212
nucl1301,stan1318,0.646906188
nucl1301,bulg1262,0.679041916
nucl1301,stan1295,0.69001996
nucl1301,mode1248,0.670858283
nucl1301,stan1293,0.728942116
nucl1301,stan1288,0.720758483
nucl1301,stan1290,0.709181637
nucl1301,hind1269,0.62754491
nucl1301,russ1263,0.684031936
nucl1301,swah1253,0.508982036
nucl1301,thai1261,0.528542914
nucl1301,nucl1301,0.720359281
nucl1301,urdu1245,0.597205589
nucl1301,viet1252,0.685628743
nucl1301,mand1415,0.697005988
urdu1245,stan1318,0.604790419
urdu1245,bulg1262,0.632734531
urdu1245,stan1295,0.646107784
urdu1245,mode1248,0.625149701
urdu1245,stan1293,0.679640719
urdu1245,stan1288,0.656886228
urdu1245,stan1290,0.647105788
urdu1245,hind1269,0.616167665
urdu1245,russ1263,0.64750499
urdu1245,swah1253,0.462874251
urdu1245,thai1261,0.478243513
urdu1245,nucl1301,0.578243513
urdu1245,urdu1245,0.633732535
urdu1245,viet1252,0.635129741
urdu1245,mand1415,0.653093812
viet1252,stan1318,0.655489022
viet1252,bulg1262,0.696606786
viet1252,stan1295,0.698802395
viet1252,mode1248,0.677245509
viet1252,stan1293,0.763473054
viet1252,stan1288,0.735928144
viet1252,stan1290,0.727145709
viet1252,hind1269,0.622155689
viet1252,russ1263,0.699800399
viet1252,swah1253,0.492814371
viet1252,thai1261,0.576047904
viet1252,nucl1301,0.620159681
viet1252,urdu1245,0.600199601
viet1252,viet1252,0.753493014
viet1252,mand1415,0.709181637
mand1415,stan1318,0.648702595
mand1415,bulg1262,0.695409182
mand1415,stan1295,0.702794411
mand1415,mode1248,0.672854291
mand1415,stan1293,0.766267465
mand1415,stan1288,0.73493014
mand1415,stan1290,0.723952096
mand1415,hind1269,0.62255489
mand1415,russ1263,0.710978044
mand1415,swah1253,0.478443114
mand1415,thai1261,0.552694611
mand1415,nucl1301,0.629540918
mand1415,urdu1245,0.609580838
mand1415,viet1252,0.708383234
mand1415,mand1415,0.761077844
